"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"1","Port Elizabeth Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python","Supabase","Amazon Web Services (AWS);Netlify;Vercel","Next.js;React;Remix;Vue.js","Healthcare","ChatGPT","Favorable","Employed"
"2","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","BigQuery;Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel","Express;Gatsby;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"3","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Dynamodb;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Fly.io;Netlify;Vercel","Angular;Express;Next.js;Node.js;React","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed"
"4","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel","Angular;Express;NestJS;React","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Not employed"
"5","Cape Town Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;Python","MongoDB","Amazon Web Services (AWS)","ASP.NET CORE;Flask;Vue.js","Other","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Adrenaline;GitHub Copilot;Tabnine","Employed"
"6","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MySQL;Redis","Digital Ocean;Microsoft Azure;Netlify","ASP.NET CORE;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed"
"7","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript","Cassandra;Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;Express;Spring Boot","Insurance","ChatGPT","Tabnine;Whispr AI","Employed"
"8","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","Elasticsearch","Firebase;Microsoft Azure","Express;Gatsby;Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Mintlify","Employed"
"9","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL","Netlify;Vercel","Express;Next.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed"
"10","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Ruby;TypeScript","MySQL","Amazon Web Services (AWS);Cloudflare;Netlify","Laravel;Next.js;React;Ruby on Rails","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"11","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Dynamodb;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean","Express;Node.js;React","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed"
"12","Cape Town Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;JavaScript;PHP;Rust;TypeScript","Elasticsearch;InfluxDB;MariaDB;MySQL;Redis;SQLite","Cloudflare;Hetzner","Laravel;Symfony;Vue.js","Oil & Gas","ChatGPT","GitHub Copilot;Mintlify","Employed"
"13","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Scala;SQL;TypeScript","Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure","Django;FastAPI;Flask;jQuery;Node.js;Vue.js;WordPress","Legal Services","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed"
"14","Durban Campus","IT","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","Elixir;Go;Java;JavaScript;PHP;Ruby","MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware","jQuery;Node.js;Spring Boot;WordPress","Wholesale","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed"
"15","Durban Campus","IT","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Java;JavaScript;Lua;Python;SQL;TypeScript","Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Hetzner","AngularJS;Node.js;Spring Boot","Oil & Gas","ChatGPT","Adrenaline;Tabnine","Employed"
"16","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery","Financial Services","ChatGPT;Google Bard AI","Rubber Duck.AI","Employed"
"17","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);OpenShift;VMware","Django;FastAPI;React","Legal Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"18","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MySQL;Supabase","Netlify;Vercel","jQuery;Node.js;Nuxt.js;React;Vue.js;WordPress","Oil & Gas","ChatGPT","Codeium;GitHub Copilot","Employed"
"19","Cape Town Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","System administrator","Some college/university study without earning a degree","HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;MongoDB;PostgreSQL;SQLite;Supabase","Fly.io;Google Cloud;Microsoft Azure;Vercel","Express;Next.js;Node.js;React;Remix","Legal Services","ChatGPT;Google Bard AI","Adrenaline;Tabnine","Employed"
"20","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL","Cloudflare;Digital Ocean","jQuery;Node.js;Svelte;Vue.js;WordPress","Financial Services","ChatGPT","Codeium;Synk Code;Whispr AI","Independent contractor"
"21","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;Synk Code;Whispr AI","Independent contractor"
"22","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL","Google Cloud;Heroku","Express;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Rubber Duck.AI;Synk Code","Not employed"
"23","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python","PostgreSQL","Amazon Web Services (AWS)","Django;Express;jQuery;Node.js;React;WordPress","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor"
"24","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MongoDB;MySQL;Redis","Amazon Web Services (AWS);Netlify;Vercel","CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed"
